Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
QC,Crops,100,India,5419,Yield,125,Cassava,1961,1961,hg/ha,71861
QC,Crops,100,India,5419,Yield,125,Cassava,1962,1962,hg/ha,71396
QC,Crops,100,India,5419,Yield,125,Cassava,1963,1963,hg/ha,71134
QC,Crops,100,India,5419,Yield,125,Cassava,1964,1964,hg/ha,115697
QC,Crops,100,India,5419,Yield,125,Cassava,1965,1965,hg/ha,126375
QC,Crops,100,India,5419,Yield,125,Cassava,1966,1966,hg/ha,127934
QC,Crops,100,India,5419,Yield,125,Cassava,1967,1967,hg/ha,131621
QC,Crops,100,India,5419,Yield,125,Cassava,1968,1968,hg/ha,133786
QC,Crops,100,India,5419,Yield,125,Cassava,1969,1969,hg/ha,129175
QC,Crops,100,India,5419,Yield,125,Cassava,1970,1970,hg/ha,147876
QC,Crops,100,India,5419,Yield,125,Cassava,1971,1971,hg/ha,148598
QC,Crops,100,India,5419,Yield,125,Cassava,1972,1972,hg/ha,170368
QC,Crops,100,India,5419,Yield,125,Cassava,1973,1973,hg/ha,175424
QC,Crops,100,India,5419,Yield,125,Cassava,1974,1974,hg/ha,174386
QC,Crops,100,India,5419,Yield,125,Cassava,1975,1975,hg/ha,163207
QC,Crops,100,India,5419,Yield,125,Cassava,1976,1976,hg/ha,169344
QC,Crops,100,India,5419,Yield,125,Cassava,1977,1977,hg/ha,165241
QC,Crops,100,India,5419,Yield,125,Cassava,1978,1978,hg/ha,158758
QC,Crops,100,India,5419,Yield,125,Cassava,1979,1979,hg/ha,167361
QC,Crops,100,India,5419,Yield,125,Cassava,1980,1980,hg/ha,166107
QC,Crops,100,India,5419,Yield,125,Cassava,1981,1981,hg/ha,182921
QC,Crops,100,India,5419,Yield,125,Cassava,1982,1982,hg/ha,163738
QC,Crops,100,India,5419,Yield,125,Cassava,1983,1983,hg/ha,177086
QC,Crops,100,India,5419,Yield,125,Cassava,1984,1984,hg/ha,184289
QC,Crops,100,India,5419,Yield,125,Cassava,1985,1985,hg/ha,185460
QC,Crops,100,India,5419,Yield,125,Cassava,1986,1986,hg/ha,177160
QC,Crops,100,India,5419,Yield,125,Cassava,1987,1987,hg/ha,181470
QC,Crops,100,India,5419,Yield,125,Cassava,1988,1988,hg/ha,201807
QC,Crops,100,India,5419,Yield,125,Cassava,1989,1989,hg/ha,193847
QC,Crops,100,India,5419,Yield,125,Cassava,1990,1990,hg/ha,205381
QC,Crops,100,India,5419,Yield,125,Cassava,1991,1991,hg/ha,218925
QC,Crops,100,India,5419,Yield,125,Cassava,1992,1992,hg/ha,232463
QC,Crops,100,India,5419,Yield,125,Cassava,1993,1993,hg/ha,230430
QC,Crops,100,India,5419,Yield,125,Cassava,1994,1994,hg/ha,245277
QC,Crops,100,India,5419,Yield,125,Cassava,1995,1995,hg/ha,252775
QC,Crops,100,India,5419,Yield,125,Cassava,1996,1996,hg/ha,238528
QC,Crops,100,India,5419,Yield,125,Cassava,1997,1997,hg/ha,221117
QC,Crops,100,India,5419,Yield,125,Cassava,1998,1998,hg/ha,252815
QC,Crops,100,India,5419,Yield,125,Cassava,1999,1999,hg/ha,239523
QC,Crops,100,India,5419,Yield,125,Cassava,2000,2000,hg/ha,269087
QC,Crops,100,India,5419,Yield,125,Cassava,2001,2001,hg/ha,266998
QC,Crops,100,India,5419,Yield,125,Cassava,2002,2002,hg/ha,272746
QC,Crops,100,India,5419,Yield,125,Cassava,2003,2003,hg/ha,262135
QC,Crops,100,India,5419,Yield,125,Cassava,2004,2004,hg/ha,270436
QC,Crops,100,India,5419,Yield,125,Cassava,2005,2005,hg/ha,304978
QC,Crops,100,India,5419,Yield,125,Cassava,2006,2006,hg/ha,321132
QC,Crops,100,India,5419,Yield,125,Cassava,2007,2007,hg/ha,322204
QC,Crops,100,India,5419,Yield,125,Cassava,2008,2008,hg/ha,335407
QC,Crops,100,India,5419,Yield,125,Cassava,2009,2009,hg/ha,343433
QC,Crops,100,India,5419,Yield,125,Cassava,2010,2010,hg/ha,347555
QC,Crops,100,India,5419,Yield,125,Cassava,2011,2011,hg/ha,364770
QC,Crops,100,India,5419,Yield,125,Cassava,2012,2012,hg/ha,385818
QC,Crops,100,India,5419,Yield,125,Cassava,2013,2013,hg/ha,349594
QC,Crops,100,India,5419,Yield,125,Cassava,2014,2014,hg/ha,356555
QC,Crops,100,India,5419,Yield,125,Cassava,2015,2015,hg/ha,210240
QC,Crops,100,India,5419,Yield,125,Cassava,2016,2016,hg/ha,223235
QC,Crops,100,India,5419,Yield,56,Maize,1961,1961,hg/ha,9567
QC,Crops,100,India,5419,Yield,56,Maize,1962,1962,hg/ha,9922
QC,Crops,100,India,5419,Yield,56,Maize,1963,1963,hg/ha,9954
QC,Crops,100,India,5419,Yield,56,Maize,1964,1964,hg/ha,10100
QC,Crops,100,India,5419,Yield,56,Maize,1965,1965,hg/ha,10050
QC,Crops,100,India,5419,Yield,56,Maize,1966,1966,hg/ha,9645
QC,Crops,100,India,5419,Yield,56,Maize,1967,1967,hg/ha,11228
QC,Crops,100,India,5419,Yield,56,Maize,1968,1968,hg/ha,9974
QC,Crops,100,India,5419,Yield,56,Maize,1969,1969,hg/ha,9679
QC,Crops,100,India,5419,Yield,56,Maize,1970,1970,hg/ha,12791
QC,Crops,100,India,5419,Yield,56,Maize,1971,1971,hg/ha,8999
QC,Crops,100,India,5419,Yield,56,Maize,1972,1972,hg/ha,10943
QC,Crops,100,India,5419,Yield,56,Maize,1973,1973,hg/ha,9648
QC,Crops,100,India,5419,Yield,56,Maize,1974,1974,hg/ha,9481
QC,Crops,100,India,5419,Yield,56,Maize,1975,1975,hg/ha,12031
QC,Crops,100,India,5419,Yield,56,Maize,1976,1976,hg/ha,10601
QC,Crops,100,India,5419,Yield,56,Maize,1977,1977,hg/ha,10511
QC,Crops,100,India,5419,Yield,56,Maize,1978,1978,hg/ha,10762
QC,Crops,100,India,5419,Yield,56,Maize,1979,1979,hg/ha,9794
QC,Crops,100,India,5419,Yield,56,Maize,1980,1980,hg/ha,11586
