Area Code,Element Code,Item Code,Year Code,Year,Value
100,5419,125,1961,1961,71861
100,5419,125,1962,1962,71396
100,5419,125,1963,1963,71134
100,5419,125,1964,1964,115697
100,5419,125,1965,1965,126375
100,5419,125,1966,1966,127934
100,5419,125,1967,1967,131621
100,5419,125,1968,1968,133786
100,5419,125,1969,1969,129175
100,5419,125,1970,1970,147876
100,5419,125,1971,1971,148598
100,5419,125,1972,1972,170368
100,5419,125,1973,1973,175424
100,5419,125,1974,1974,174386
100,5419,125,1975,1975,163207
100,5419,125,1976,1976,169344
100,5419,125,1977,1977,165241
100,5419,125,1978,1978,158758
100,5419,125,1979,1979,167361
100,5419,125,1980,1980,166107
100,5419,125,1981,1981,182921
100,5419,125,1982,1982,163738
100,5419,125,1983,1983,177086
100,5419,125,1984,1984,184289
100,5419,125,1985,1985,185460
100,5419,125,1986,1986,177160
100,5419,125,1987,1987,181470
100,5419,125,1988,1988,201807
100,5419,125,1989,1989,193847
100,5419,125,1990,1990,205381
100,5419,125,1991,1991,218925
100,5419,125,1992,1992,232463
100,5419,125,1993,1993,230430
100,5419,125,1994,1994,245277
100,5419,125,1995,1995,252775
100,5419,125,1996,1996,238528
100,5419,125,1997,1997,221117
100,5419,125,1998,1998,252815
100,5419,125,1999,1999,239523
100,5419,125,2000,2000,269087
100,5419,125,2001,2001,266998
100,5419,125,2002,2002,272746
100,5419,125,2003,2003,262135
100,5419,125,2004,2004,270436
100,5419,125,2005,2005,304978
100,5419,125,2006,2006,321132
100,5419,125,2007,2007,322204
100,5419,125,2008,2008,335407
100,5419,125,2009,2009,343433
100,5419,125,2010,2010,347555
100,5419,125,2011,2011,364770
100,5419,125,2012,2012,385818
100,5419,125,2013,2013,349594
100,5419,125,2014,2014,356555
100,5419,125,2015,2015,210240
100,5419,125,2016,2016,223235
100,5419,56,1961,1961,9567
100,5419,56,1962,1962,9922
100,5419,56,1963,1963,9954
100,5419,56,1964,1964,10100
100,5419,56,1965,1965,10050
100,5419,56,1966,1966,9645
100,5419,56,1967,1967,11228
100,5419,56,1968,1968,9974
100,5419,56,1969,1969,9679
100,5419,56,1970,1970,12791
100,5419,56,1971,1971,8999
100,5419,56,1972,1972,10943
100,5419,56,1973,1973,9648
100,5419,56,1974,1974,9481
100,5419,56,1975,1975,12031
100,5419,56,1976,1976,10601
100,5419,56,1977,1977,10511
100,5419,56,1978,1978,10762
100,5419,56,1979,1979,9794
100,5419,56,1980,1980,11586
100,5419,56,1981,1981,11622
100,5419,56,1982,1982,11448
100,5419,56,1983,1983,13521
100,5419,56,1984,1984,14556
100,5419,56,1985,1985,11460
100,5419,56,1986,1986,12819
100,5419,56,1987,1987,10288
100,5419,56,1988,1988,13955
100,5419,56,1989,1989,16316
100,5419,56,1990,1990,15178
100,5419,56,1991,1991,13763
100,5419,56,1992,1992,16758
100,5419,56,1993,1993,16015
100,5419,56,1994,1994,14480
100,5419,56,1995,1995,15946
100,5419,56,1996,1996,17094
100,5419,56,1997,1997,17111
100,5419,56,1998,1998,17969
100,5419,56,1999,1999,17922
100,5419,56,2000,2000,18216
100,5419,56,2001,2001,19996
100,5419,56,2002,2002,16807
100,5419,56,2003,2003,20405
100,5419,56,2004,2004,19073
100,5419,56,2005,2005,19385
